model_name,predictor_class,feature_count,features_used,best_params_home,best_params_away,training_duration_final,save_path
rf_mlb_runs_predictor,RFScorePredictor,54,"['rest_days_home', 'rest_days_away', 'home_rolling_errors_by_opponent_mean_15', 'home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_errors_by_opponent_std_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_allowed_std_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_num_games', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_avg_home_team_runs', 'matchup_home_team_streak', 'h_team_hist_HA_win_pct', 'h_team_hist_HA_runs_for_avg', 'h_team_hist_HA_runs_against_avg', 'a_team_hist_HA_win_pct', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__bootstrap': False, 'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 27, 'model__n_estimators': 764}","{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 26, 'model__n_estimators': 1145}",9.177491903305054,/Users/mattb/Desktop/Projects/score-genius/models/saved/rf_mlb_runs_predictor.joblib
xgb_mlb_runs_predictor,XGBoostScorePredictor,54,"['rest_days_home', 'rest_days_away', 'home_rolling_errors_by_opponent_mean_15', 'home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_errors_by_opponent_std_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_allowed_std_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_num_games', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_avg_home_team_runs', 'matchup_home_team_streak', 'h_team_hist_HA_win_pct', 'h_team_hist_HA_runs_for_avg', 'h_team_hist_HA_runs_against_avg', 'a_team_hist_HA_win_pct', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__colsample_bytree': 0.7003442109386645, 'model__learning_rate': 0.002861652288141074, 'model__max_depth': 3, 'model__n_estimators': 740, 'model__reg_alpha': 0.003310418956324514, 'model__reg_lambda': 0.002946531769463083, 'model__subsample': 0.7000971592658382}","{'model__colsample_bytree': 0.7003442109386645, 'model__learning_rate': 0.002861652288141074, 'model__max_depth': 3, 'model__n_estimators': 740, 'model__reg_alpha': 0.003310418956324514, 'model__reg_lambda': 0.002946531769463083, 'model__subsample': 0.7000971592658382}",10.580602169036865,/Users/mattb/Desktop/Projects/score-genius/models/saved/xgb_mlb_runs_predictor.joblib
lgbm_mlb_runs_predictor,LGBMScorePredictor,54,"['rest_days_home', 'rest_days_away', 'home_rolling_errors_by_opponent_mean_15', 'home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_errors_by_opponent_std_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_allowed_std_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_num_games', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_avg_home_team_runs', 'matchup_home_team_streak', 'h_team_hist_HA_win_pct', 'h_team_hist_HA_runs_for_avg', 'h_team_hist_HA_runs_against_avg', 'a_team_hist_HA_win_pct', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__colsample_bytree': 0.8640853687542536, 'model__lambda_l1': 0.20089519235134704, 'model__lambda_l2': 0.025904112632732717, 'model__learning_rate': 0.018791486110976943, 'model__max_depth': 4, 'model__min_child_samples': 54, 'model__min_split_gain': 0.03365542148887265, 'model__n_estimators': 389, 'model__num_leaves': 27, 'model__subsample': 0.777079324193113, 'model__subsample_freq': 1}","{'model__colsample_bytree': 0.725831883030299, 'model__lambda_l1': 0.8092860503258412, 'model__lambda_l2': 0.16306068743545582, 'model__learning_rate': 0.016929448301287203, 'model__max_depth': 3, 'model__min_child_samples': 59, 'model__min_split_gain': 0.06181282404578958, 'model__n_estimators': 647, 'model__num_leaves': 27, 'model__subsample': 0.7044369484060603, 'model__subsample_freq': 1}",1.831305980682373,/Users/mattb/Desktop/Projects/score-genius/models/saved/lgbm_mlb_runs_predictor.joblib
