model_name,predictor_class,feature_count,features_used,best_params_home,best_params_away,training_duration_final,save_path
rf_mlb_runs_predictor,RFScorePredictor,19,"['rest_days_away', 'away_rolling_hits_for_mean_15', 'home_rolling_hits_for_mean_15', 'away_rolling_hits_for_mean_30', 'away_rolling_hits_for_mean_60', 'home_rolling_runs_allowed_mean_100', 'away_rolling_runs_allowed_mean_15', 'home_rolling_runs_scored_mean_100', 'away_rolling_runs_scored_mean_15', 'away_rolling_runs_scored_mean_60', 'home_rolling_runs_allowed_mean_15ox', 'away_rolling_runs_allowed_mean_60ox', 'matchup_num_games', 'matchup_avg_total_runs', 'home_season_runs_for_avg', 'home_season_runs_against_avg', 'away_season_win_pct', 'away_season_runs_for_avg', 'away_season_runs_against_avg']","{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 17, 'model__min_samples_split': 39, 'model__n_estimators': 274}","{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 0.5, 'model__min_samples_leaf': 12, 'model__min_samples_split': 20, 'model__n_estimators': 204}",1.250199794769287,/Users/mattb/Desktop/Projects/score-genius/models/saved/rf_mlb_runs_predictor.joblib
xgb_mlb_runs_predictor,XGBoostScorePredictor,19,"['rest_days_away', 'away_rolling_hits_for_mean_15', 'home_rolling_hits_for_mean_15', 'away_rolling_hits_for_mean_30', 'away_rolling_hits_for_mean_60', 'home_rolling_runs_allowed_mean_100', 'away_rolling_runs_allowed_mean_15', 'home_rolling_runs_scored_mean_100', 'away_rolling_runs_scored_mean_15', 'away_rolling_runs_scored_mean_60', 'home_rolling_runs_allowed_mean_15ox', 'away_rolling_runs_allowed_mean_60ox', 'matchup_num_games', 'matchup_avg_total_runs', 'home_season_runs_for_avg', 'home_season_runs_against_avg', 'away_season_win_pct', 'away_season_runs_for_avg', 'away_season_runs_against_avg']","{'model__colsample_bytree': 0.7534389706217144, 'model__gamma': 0.2940160614626455, 'model__learning_rate': 0.005548960801815294, 'model__max_depth': 4, 'model__min_child_weight': 17, 'model__n_estimators': 397, 'model__reg_alpha': 0.7700477308294277, 'model__reg_lambda': 0.05620062677517751, 'model__subsample': 0.6571424172563721}","{'model__colsample_bytree': 0.7852601757026698, 'model__gamma': 0.08979064194712971, 'model__learning_rate': 0.008221663078569216, 'model__max_depth': 2, 'model__min_child_weight': 12, 'model__n_estimators': 317, 'model__reg_alpha': 0.009833181933644887, 'model__reg_lambda': 0.013400367243354798, 'model__subsample': 0.6621964643431324}",2.501681089401245,/Users/mattb/Desktop/Projects/score-genius/models/saved/xgb_mlb_runs_predictor.joblib
lgbm_mlb_runs_predictor,LGBMScorePredictor,19,"['rest_days_away', 'away_rolling_hits_for_mean_15', 'home_rolling_hits_for_mean_15', 'away_rolling_hits_for_mean_30', 'away_rolling_hits_for_mean_60', 'home_rolling_runs_allowed_mean_100', 'away_rolling_runs_allowed_mean_15', 'home_rolling_runs_scored_mean_100', 'away_rolling_runs_scored_mean_15', 'away_rolling_runs_scored_mean_60', 'home_rolling_runs_allowed_mean_15ox', 'away_rolling_runs_allowed_mean_60ox', 'matchup_num_games', 'matchup_avg_total_runs', 'home_season_runs_for_avg', 'home_season_runs_against_avg', 'away_season_win_pct', 'away_season_runs_for_avg', 'away_season_runs_against_avg']","{'model__colsample_bytree': 0.725831883030299, 'model__lambda_l1': 0.8092860503258412, 'model__lambda_l2': 0.16306068743545582, 'model__learning_rate': 0.016929448301287203, 'model__max_depth': 3, 'model__min_child_samples': 59, 'model__min_split_gain': 0.06181282404578958, 'model__n_estimators': 647, 'model__num_leaves': 27, 'model__subsample': 0.7044369484060603, 'model__subsample_freq': 1}","{'model__colsample_bytree': 0.725831883030299, 'model__lambda_l1': 0.8092860503258412, 'model__lambda_l2': 0.16306068743545582, 'model__learning_rate': 0.016929448301287203, 'model__max_depth': 3, 'model__min_child_samples': 59, 'model__min_split_gain': 0.06181282404578958, 'model__n_estimators': 647, 'model__num_leaves': 27, 'model__subsample': 0.7044369484060603, 'model__subsample_freq': 1}",0.6668431758880615,/Users/mattb/Desktop/Projects/score-genius/models/saved/lgbm_mlb_runs_predictor.joblib
