model_name,predictor_class,feature_count,features_used,best_params_home,best_params_away,training_duration_final,save_path
rf_mlb_runs_predictor,RFScorePredictor,47,"['home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_errors_committed_mean_100', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_errors_committed_std_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_home_team_streak', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 0.3, 'model__min_samples_leaf': 13, 'model__min_samples_split': 34, 'model__n_estimators': 463}","{'model__bootstrap': True, 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 15, 'model__min_samples_split': 35, 'model__n_estimators': 238}",4.108386993408203,/Users/mattb/Desktop/Projects/score-genius/models/saved/rf_mlb_runs_predictor.joblib
xgb_mlb_runs_predictor,XGBoostScorePredictor,47,"['home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_errors_committed_mean_100', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_errors_committed_std_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_home_team_streak', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__colsample_bytree': 0.6286255971096939, 'model__gamma': 0.004108031636599255, 'model__learning_rate': 0.005176832129441176, 'model__max_depth': 2, 'model__min_child_weight': 15, 'model__n_estimators': 379, 'model__reg_alpha': 0.010622952661232915, 'model__reg_lambda': 0.4390506347300093, 'model__subsample': 0.6221263473910414}","{'model__colsample_bytree': 0.7534389706217144, 'model__gamma': 0.2940160614626455, 'model__learning_rate': 0.005548960801815294, 'model__max_depth': 4, 'model__min_child_weight': 17, 'model__n_estimators': 397, 'model__reg_alpha': 0.7700477308294277, 'model__reg_lambda': 0.05620062677517751, 'model__subsample': 0.6571424172563721}",7.83293080329895,/Users/mattb/Desktop/Projects/score-genius/models/saved/xgb_mlb_runs_predictor.joblib
lgbm_mlb_runs_predictor,LGBMScorePredictor,47,"['home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_errors_committed_mean_100', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_errors_committed_std_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_home_team_streak', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__colsample_bytree': 0.8640853687542536, 'model__lambda_l1': 0.20089519235134704, 'model__lambda_l2': 0.025904112632732717, 'model__learning_rate': 0.018791486110976943, 'model__max_depth': 4, 'model__min_child_samples': 54, 'model__min_split_gain': 0.03365542148887265, 'model__n_estimators': 389, 'model__num_leaves': 27, 'model__subsample': 0.777079324193113, 'model__subsample_freq': 1}","{'model__colsample_bytree': 0.725831883030299, 'model__lambda_l1': 0.8092860503258412, 'model__lambda_l2': 0.16306068743545582, 'model__learning_rate': 0.016929448301287203, 'model__max_depth': 3, 'model__min_child_samples': 59, 'model__min_split_gain': 0.06181282404578958, 'model__n_estimators': 647, 'model__num_leaves': 27, 'model__subsample': 0.7044369484060603, 'model__subsample_freq': 1}",1.1176199913024902,/Users/mattb/Desktop/Projects/score-genius/models/saved/lgbm_mlb_runs_predictor.joblib
