model_name,predictor_class,feature_count,features_used,best_params_home,best_params_away,training_duration_final,save_path
rf_mlb_runs_predictor,RFScorePredictor,49,"['rest_days_home', 'rest_days_away', 'home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_errors_committed_mean_100', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_errors_committed_std_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_home_team_streak', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 23, 'model__min_samples_split': 32, 'model__n_estimators': 530}","{'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 23, 'model__min_samples_split': 32, 'model__n_estimators': 530}",4.386239051818848,/Users/mattb/Desktop/Projects/score-genius/models/saved/rf_mlb_runs_predictor.joblib
xgb_mlb_runs_predictor,XGBoostScorePredictor,49,"['rest_days_home', 'rest_days_away', 'home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_errors_committed_mean_100', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_errors_committed_std_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_home_team_streak', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__colsample_bytree': 0.9963717905829562, 'model__gamma': 0.041210267175164336, 'model__learning_rate': 0.004408572534305859, 'model__max_depth': 3, 'model__min_child_weight': 8, 'model__n_estimators': 419, 'model__reg_alpha': 0.19856031481305678, 'model__reg_lambda': 2.3297810422670526, 'model__subsample': 0.6559089506505158}","{'model__colsample_bytree': 0.7926667951856461, 'model__gamma': 0.1361327978441706, 'model__learning_rate': 0.015773104676140626, 'model__max_depth': 4, 'model__min_child_weight': 19, 'model__n_estimators': 138, 'model__reg_alpha': 0.05467733994362363, 'model__reg_lambda': 0.010344957135342801, 'model__subsample': 0.7620808347125668}",5.69066596031189,/Users/mattb/Desktop/Projects/score-genius/models/saved/xgb_mlb_runs_predictor.joblib
lgbm_mlb_runs_predictor,LGBMScorePredictor,49,"['rest_days_home', 'rest_days_away', 'home_rolling_runs_allowed_mean_15', 'home_rolling_hits_allowed_std_15', 'home_rolling_hits_for_std_15', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_errors_committed_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_mean_60', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_runs_allowed_std_60', 'home_rolling_errors_committed_mean_100', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_runs_allowed_std_100', 'home_rolling_runs_scored_std_100', 'away_rolling_errors_committed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_runs_scored_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_hits_allowed_mean_30', 'away_rolling_errors_committed_std_30', 'away_rolling_hits_allowed_std_30', 'away_rolling_runs_scored_std_30', 'away_rolling_errors_committed_mean_60', 'away_rolling_hits_for_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_std_60', 'away_rolling_runs_allowed_std_60', 'away_rolling_runs_scored_std_60', 'away_rolling_errors_by_opponent_mean_100', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_allowed_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_std_100', 'matchup_avg_run_diff', 'matchup_home_win_pct', 'matchup_home_team_streak', 'a_team_hist_HA_runs_for_avg', 'a_team_hist_HA_runs_against_avg']","{'model__colsample_bytree': 0.8640853687542536, 'model__lambda_l1': 0.20089519235134704, 'model__lambda_l2': 0.025904112632732717, 'model__learning_rate': 0.018791486110976943, 'model__max_depth': 4, 'model__min_child_samples': 54, 'model__min_split_gain': 0.03365542148887265, 'model__n_estimators': 389, 'model__num_leaves': 27, 'model__subsample': 0.777079324193113, 'model__subsample_freq': 1}","{'model__colsample_bytree': 0.7090608019544089, 'model__lambda_l1': 0.056133901631581135, 'model__lambda_l2': 0.17853354619828207, 'model__learning_rate': 0.031851967108054116, 'model__max_depth': 3, 'model__min_child_samples': 24, 'model__min_split_gain': 0.06839637693981411, 'model__n_estimators': 315, 'model__num_leaves': 35, 'model__subsample': 0.828483855641263, 'model__subsample_freq': 0}",0.9509661197662354,/Users/mattb/Desktop/Projects/score-genius/models/saved/lgbm_mlb_runs_predictor.joblib
