model_name,predictor_class,feature_count,features_used,tuning_duration,best_params,best_cv_score,training_duration_final,save_path,test_mse_home,test_rmse_home,test_mae_home,test_r2_home,test_mse_away,test_rmse_away,test_mae_away,test_r2_away,baseline_mae_home,baseline_mae_away,test_mae_total,test_mae_diff,test_mlb_runs_loss,test_mlb_dist_loss,test_combined_mlb_loss,betting_metrics_mlb,train_mse_home,train_rmse_home,train_mae_home,train_r2_home,train_mse_away,train_rmse_away,train_mae_away,train_r2_away,samples_train_final,samples_test,samples_tune,samples_val,total_duration
ridge_mlb_runs_predictor,RidgeScorePredictor,60,"['home_rolling_errors_by_opponent_mean_15', 'home_rolling_hits_for_mean_15', 'home_rolling_runs_allowed_mean_15', 'home_rolling_runs_scored_mean_15', 'home_rolling_errors_by_opponent_mean_15_imputed', 'home_rolling_runs_allowed_std_15', 'home_rolling_runs_scored_std_15', 'home_rolling_errors_by_opponent_std_15_imputed', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_hits_for_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_runs_scored_mean_30', 'home_rolling_errors_by_opponent_mean_30_imputed', 'home_rolling_errors_committed_std_30', 'home_rolling_hits_allowed_std_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_std_30_imputed', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_hits_for_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_errors_by_opponent_mean_60_imputed', 'home_rolling_errors_committed_std_60', 'home_rolling_hits_for_std_60', 'home_rolling_errors_by_opponent_std_60_imputed', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_errors_by_opponent_mean_100_imputed', 'home_rolling_runs_allowed_std_100', 'home_rolling_errors_by_opponent_std_100_imputed', 'away_rolling_hits_allowed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_runs_allowed_mean_30', 'away_rolling_errors_by_opponent_mean_30_imputed', 'away_rolling_hits_allowed_std_30', 'away_rolling_errors_by_opponent_mean_60', 'away_rolling_hits_allowed_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_mean_60_imputed', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_for_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_mean_100_imputed', 'matchup_avg_run_diff', 'matchup_avg_away_team_runs', 'matchup_home_team_streak', 'h_team_hist_HA_win_pct', 'h_team_hist_HA_win_pct_imputed', 'h_team_hist_HA_runs_for_avg', 'h_team_hist_HA_runs_against_avg', 'a_team_hist_HA_win_pct', 'a_team_hist_HA_win_pct_imputed', 'a_team_hist_HA_runs_against_avg']",2.17781662940979,{'alpha': 1000.0},-2.4113648557895973,0.4179699420928955,/Users/mattb/Desktop/Projects/score-genius/models/saved/ridge_mlb_runs_predictor.joblib,9.010353227771011,3.0017250420001846,2.317295980511571,0.014428553809803457,10.642509135200974,3.2622858757627258,2.5341047503045067,0.07066540557117862,2.383876383371578,2.6741869959144253,3.548112058465286,3.3958587088915957,19.607795371498174,0.05659053103296777,13.74243391935861,{'win_prediction_accuracy': 0.5444579780755177},9.354202493551162,3.0584640742619755,2.374516337059329,0.032872335868642244,9.696635855546003,3.1139421728005807,2.4172936371453138,0.05054339778626593,18608,3284,15324,3284,3.1162023544311523
svr_mlb_runs_predictor,SVRScorePredictor,60,"['home_rolling_errors_by_opponent_mean_15', 'home_rolling_hits_for_mean_15', 'home_rolling_runs_allowed_mean_15', 'home_rolling_runs_scored_mean_15', 'home_rolling_errors_by_opponent_mean_15_imputed', 'home_rolling_runs_allowed_std_15', 'home_rolling_runs_scored_std_15', 'home_rolling_errors_by_opponent_std_15_imputed', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_hits_for_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_runs_scored_mean_30', 'home_rolling_errors_by_opponent_mean_30_imputed', 'home_rolling_errors_committed_std_30', 'home_rolling_hits_allowed_std_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_std_30_imputed', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_hits_for_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_errors_by_opponent_mean_60_imputed', 'home_rolling_errors_committed_std_60', 'home_rolling_hits_for_std_60', 'home_rolling_errors_by_opponent_std_60_imputed', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_errors_by_opponent_mean_100_imputed', 'home_rolling_runs_allowed_std_100', 'home_rolling_errors_by_opponent_std_100_imputed', 'away_rolling_hits_allowed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_runs_allowed_mean_30', 'away_rolling_errors_by_opponent_mean_30_imputed', 'away_rolling_hits_allowed_std_30', 'away_rolling_errors_by_opponent_mean_60', 'away_rolling_hits_allowed_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_mean_60_imputed', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_for_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_mean_100_imputed', 'matchup_avg_run_diff', 'matchup_avg_away_team_runs', 'matchup_home_team_streak', 'h_team_hist_HA_win_pct', 'h_team_hist_HA_win_pct_imputed', 'h_team_hist_HA_runs_for_avg', 'h_team_hist_HA_runs_against_avg', 'a_team_hist_HA_win_pct', 'a_team_hist_HA_win_pct_imputed', 'a_team_hist_HA_runs_against_avg']",3521.7779037952423,"{'C': 2.09149813290356, 'epsilon': 0.11101911742238942, 'gamma': 4.207053950287936e-05, 'kernel': 'rbf'}",-2.381611489507505,59.37477993965149,/Users/mattb/Desktop/Projects/score-genius/models/saved/svr_mlb_runs_predictor.joblib,9.110231425091351,3.0183159915905677,2.290499390986602,0.0035036658628490036,10.929354445797808,3.305957417420528,2.472594397076736,0.04561724568700265,2.383876383371578,2.6741869959144253,3.504872107186358,3.3611449451887943,19.90998781973203,0.06431381020048285,13.956285616872567,{'win_prediction_accuracy': 0.5426309378806333},9.633759673258814,3.103829839610866,2.349688306104901,0.0039690186282677065,10.059490541702493,3.171669992559518,2.3959049871023215,0.015014088183654795,18608,3284,15324,3284,3825.3415837287903
xgb_mlb_runs_predictor,XGBoostScorePredictor,60,"['home_rolling_errors_by_opponent_mean_15', 'home_rolling_hits_for_mean_15', 'home_rolling_runs_allowed_mean_15', 'home_rolling_runs_scored_mean_15', 'home_rolling_errors_by_opponent_mean_15_imputed', 'home_rolling_runs_allowed_std_15', 'home_rolling_runs_scored_std_15', 'home_rolling_errors_by_opponent_std_15_imputed', 'home_rolling_errors_by_opponent_mean_30', 'home_rolling_hits_allowed_mean_30', 'home_rolling_hits_for_mean_30', 'home_rolling_runs_allowed_mean_30', 'home_rolling_runs_scored_mean_30', 'home_rolling_errors_by_opponent_mean_30_imputed', 'home_rolling_errors_committed_std_30', 'home_rolling_hits_allowed_std_30', 'home_rolling_hits_for_std_30', 'home_rolling_errors_by_opponent_std_30_imputed', 'home_rolling_errors_committed_mean_60', 'home_rolling_hits_allowed_mean_60', 'home_rolling_hits_for_mean_60', 'home_rolling_runs_allowed_mean_60', 'home_rolling_errors_by_opponent_mean_60_imputed', 'home_rolling_errors_committed_std_60', 'home_rolling_hits_for_std_60', 'home_rolling_errors_by_opponent_std_60_imputed', 'home_rolling_hits_allowed_mean_100', 'home_rolling_runs_allowed_mean_100', 'home_rolling_runs_scored_mean_100', 'home_rolling_errors_by_opponent_mean_100_imputed', 'home_rolling_runs_allowed_std_100', 'home_rolling_errors_by_opponent_std_100_imputed', 'away_rolling_hits_allowed_mean_15', 'away_rolling_runs_allowed_mean_15', 'away_rolling_runs_scored_mean_15', 'away_rolling_hits_for_std_15', 'away_rolling_errors_committed_mean_30', 'away_rolling_runs_allowed_mean_30', 'away_rolling_errors_by_opponent_mean_30_imputed', 'away_rolling_hits_allowed_std_30', 'away_rolling_errors_by_opponent_mean_60', 'away_rolling_hits_allowed_mean_60', 'away_rolling_runs_allowed_mean_60', 'away_rolling_runs_scored_mean_60', 'away_rolling_errors_by_opponent_mean_60_imputed', 'away_rolling_errors_committed_mean_100', 'away_rolling_hits_for_mean_100', 'away_rolling_runs_allowed_mean_100', 'away_rolling_runs_scored_mean_100', 'away_rolling_errors_by_opponent_mean_100_imputed', 'matchup_avg_run_diff', 'matchup_avg_away_team_runs', 'matchup_home_team_streak', 'h_team_hist_HA_win_pct', 'h_team_hist_HA_win_pct_imputed', 'h_team_hist_HA_runs_for_avg', 'h_team_hist_HA_runs_against_avg', 'a_team_hist_HA_win_pct', 'a_team_hist_HA_win_pct_imputed', 'a_team_hist_HA_runs_against_avg']",155.78684902191162,"{'colsample_bytree': 0.9692763545078751, 'learning_rate': 0.005116814876152149, 'max_depth': 5, 'n_estimators': 326, 'reg_alpha': 1.234963019255433, 'reg_lambda': 1.2233063209765618, 'subsample': 0.5035331526098588}",-2.39163257980496,12.22209620475769,/Users/mattb/Desktop/Projects/score-genius/models/saved/xgb_mlb_runs_predictor.joblib,9.40803897685749,3.067252675743798,2.292326431181486,-0.02907115246678993,11.183922046285018,3.344237139660556,2.4750304506699146,0.023387668549878282,2.383876383371578,2.6741869959144253,3.540803897685749,3.387332521315469,20.38343483556638,0.09456361638004122,14.296773469810478,{'win_prediction_accuracy': 0.5389768574908648},9.242368873602752,3.0401264568439834,2.282566638005159,0.044434774003440314,9.555943680137576,3.0912689433528064,2.3108877901977642,0.06431942452495609,18608,3284,15324,3284,179.1275782585144
